"location","target_end_date","output_type_id","value","reference_date","target","horizon","output_type"
"nl",2026-01-03,"0.025",0,2026-01-03,"pct wk covid lab det",0,"quantile"
"nl",2026-01-03,"0.1",0,2026-01-03,"pct wk covid lab det",0,"quantile"
"nl",2026-01-03,"0.25",1,2026-01-03,"pct wk covid lab det",0,"quantile"
"nl",2026-01-03,"0.5",2,2026-01-03,"pct wk covid lab det",0,"quantile"
"nl",2026-01-03,"0.75",4,2026-01-03,"pct wk covid lab det",0,"quantile"
"nl",2026-01-03,"0.9",6,2026-01-03,"pct wk covid lab det",0,"quantile"
"nl",2026-01-03,"0.975",7,2026-01-03,"pct wk covid lab det",0,"quantile"
"nl",2026-01-10,"0.025",0,2026-01-03,"pct wk covid lab det",1,"quantile"
"nl",2026-01-10,"0.1",0,2026-01-03,"pct wk covid lab det",1,"quantile"
"nl",2026-01-10,"0.25",0,2026-01-03,"pct wk covid lab det",1,"quantile"
"nl",2026-01-10,"0.5",2,2026-01-03,"pct wk covid lab det",1,"quantile"
"nl",2026-01-10,"0.75",5,2026-01-03,"pct wk covid lab det",1,"quantile"
"nl",2026-01-10,"0.9",7,2026-01-03,"pct wk covid lab det",1,"quantile"
"nl",2026-01-10,"0.975",9,2026-01-03,"pct wk covid lab det",1,"quantile"
"nl",2026-01-17,"0.025",0,2026-01-03,"pct wk covid lab det",2,"quantile"
"nl",2026-01-17,"0.1",0,2026-01-03,"pct wk covid lab det",2,"quantile"
"nl",2026-01-17,"0.25",0,2026-01-03,"pct wk covid lab det",2,"quantile"
"nl",2026-01-17,"0.5",2,2026-01-03,"pct wk covid lab det",2,"quantile"
"nl",2026-01-17,"0.75",5,2026-01-03,"pct wk covid lab det",2,"quantile"
"nl",2026-01-17,"0.9",8,2026-01-03,"pct wk covid lab det",2,"quantile"
"nl",2026-01-17,"0.975",11,2026-01-03,"pct wk covid lab det",2,"quantile"
"nl",2026-01-24,"0.025",0,2026-01-03,"pct wk covid lab det",3,"quantile"
"nl",2026-01-24,"0.1",0,2026-01-03,"pct wk covid lab det",3,"quantile"
"nl",2026-01-24,"0.25",0,2026-01-03,"pct wk covid lab det",3,"quantile"
"nl",2026-01-24,"0.5",2,2026-01-03,"pct wk covid lab det",3,"quantile"
"nl",2026-01-24,"0.75",6,2026-01-03,"pct wk covid lab det",3,"quantile"
"nl",2026-01-24,"0.9",9,2026-01-03,"pct wk covid lab det",3,"quantile"
"nl",2026-01-24,"0.975",12,2026-01-03,"pct wk covid lab det",3,"quantile"
"on",2026-01-03,"0.025",1,2026-01-03,"pct wk covid lab det",0,"quantile"
"on",2026-01-03,"0.1",2,2026-01-03,"pct wk covid lab det",0,"quantile"
