reference_date,target_end_date,horizon,location,target,output_type,output_type_id,value
2026-01-24,2026-01-17,-1,qc,pct wk covid lab det,quantile,0.025,2.5
2026-01-24,2026-01-17,-1,qc,pct wk covid lab det,quantile,0.1,3.5
2026-01-24,2026-01-17,-1,qc,pct wk covid lab det,quantile,0.25,4.4
2026-01-24,2026-01-17,-1,qc,pct wk covid lab det,quantile,0.5,5.2
2026-01-24,2026-01-17,-1,qc,pct wk covid lab det,quantile,0.75,6
2026-01-24,2026-01-17,-1,qc,pct wk covid lab det,quantile,0.9,6.8
2026-01-24,2026-01-17,-1,qc,pct wk covid lab det,quantile,0.975,7.8
2026-01-24,2026-01-24,0,qc,pct wk covid lab det,quantile,0.025,3.9
2026-01-24,2026-01-24,0,qc,pct wk covid lab det,quantile,0.1,4.5
2026-01-24,2026-01-24,0,qc,pct wk covid lab det,quantile,0.25,5.2
2026-01-24,2026-01-24,0,qc,pct wk covid lab det,quantile,0.5,5.9
2026-01-24,2026-01-24,0,qc,pct wk covid lab det,quantile,0.75,6.6
2026-01-24,2026-01-24,0,qc,pct wk covid lab det,quantile,0.9,7.4
2026-01-24,2026-01-24,0,qc,pct wk covid lab det,quantile,0.975,8.1
2026-01-24,2026-01-31,1,qc,pct wk covid lab det,quantile,0.025,3.9
2026-01-24,2026-01-31,1,qc,pct wk covid lab det,quantile,0.1,4.6
2026-01-24,2026-01-31,1,qc,pct wk covid lab det,quantile,0.25,5.2
2026-01-24,2026-01-31,1,qc,pct wk covid lab det,quantile,0.5,6.1
2026-01-24,2026-01-31,1,qc,pct wk covid lab det,quantile,0.75,6.8
2026-01-24,2026-01-31,1,qc,pct wk covid lab det,quantile,0.9,7.6
2026-01-24,2026-01-31,1,qc,pct wk covid lab det,quantile,0.975,8.5
2026-01-24,2026-02-07,2,qc,pct wk covid lab det,quantile,0.025,3.6
2026-01-24,2026-02-07,2,qc,pct wk covid lab det,quantile,0.1,4.6
2026-01-24,2026-02-07,2,qc,pct wk covid lab det,quantile,0.25,5.4
2026-01-24,2026-02-07,2,qc,pct wk covid lab det,quantile,0.5,6.2
2026-01-24,2026-02-07,2,qc,pct wk covid lab det,quantile,0.75,7.1
2026-01-24,2026-02-07,2,qc,pct wk covid lab det,quantile,0.9,7.9
2026-01-24,2026-02-07,2,qc,pct wk covid lab det,quantile,0.975,9.2
2026-01-24,2026-02-14,3,qc,pct wk covid lab det,quantile,0.025,3.7
2026-01-24,2026-02-14,3,qc,pct wk covid lab det,quantile,0.1,4.5
2026-01-24,2026-02-14,3,qc,pct wk covid lab det,quantile,0.25,5.3
2026-01-24,2026-02-14,3,qc,pct wk covid lab det,quantile,0.5,6.3
2026-01-24,2026-02-14,3,qc,pct wk covid lab det,quantile,0.75,7.3
2026-01-24,2026-02-14,3,qc,pct wk covid lab det,quantile,0.9,8.4
2026-01-24,2026-02-14,3,qc,pct wk covid lab det,quantile,0.975,9.7
2026-01-24,2026-01-17,-1,mb,pct wk covid lab det,quantile,0.025,0.6
2026-01-24,2026-01-17,-1,mb,pct wk covid lab det,quantile,0.1,2.3
2026-01-24,2026-01-17,-1,mb,pct wk covid lab det,quantile,0.25,3.7
2026-01-24,2026-01-17,-1,mb,pct wk covid lab det,quantile,0.5,5.3
2026-01-24,2026-01-17,-1,mb,pct wk covid lab det,quantile,0.75,6.8
2026-01-24,2026-01-17,-1,mb,pct wk covid lab det,quantile,0.9,8.4
2026-01-24,2026-01-17,-1,mb,pct wk covid lab det,quantile,0.975,10
2026-01-24,2026-01-24,0,mb,pct wk covid lab det,quantile,0.025,1.3
2026-01-24,2026-01-24,0,mb,pct wk covid lab det,quantile,0.1,2.6
2026-01-24,2026-01-24,0,mb,pct wk covid lab det,quantile,0.25,3.7
2026-01-24,2026-01-24,0,mb,pct wk covid lab det,quantile,0.5,4.8
2026-01-24,2026-01-24,0,mb,pct wk covid lab det,quantile,0.75,6
2026-01-24,2026-01-24,0,mb,pct wk covid lab det,quantile,0.9,7.2
2026-01-24,2026-01-24,0,mb,pct wk covid lab det,quantile,0.975,8.8
2026-01-24,2026-01-31,1,mb,pct wk covid lab det,quantile,0.025,1.7
2026-01-24,2026-01-31,1,mb,pct wk covid lab det,quantile,0.1,2.7
2026-01-24,2026-01-31,1,mb,pct wk covid lab det,quantile,0.25,3.7
2026-01-24,2026-01-31,1,mb,pct wk covid lab det,quantile,0.5,5.1
2026-01-24,2026-01-31,1,mb,pct wk covid lab det,quantile,0.75,6.4
2026-01-24,2026-01-31,1,mb,pct wk covid lab det,quantile,0.9,7.6
2026-01-24,2026-01-31,1,mb,pct wk covid lab det,quantile,0.975,9.3
2026-01-24,2026-02-07,2,mb,pct wk covid lab det,quantile,0.025,1.8
2026-01-24,2026-02-07,2,mb,pct wk covid lab det,quantile,0.1,3
2026-01-24,2026-02-07,2,mb,pct wk covid lab det,quantile,0.25,4.1
2026-01-24,2026-02-07,2,mb,pct wk covid lab det,quantile,0.5,5.4
2026-01-24,2026-02-07,2,mb,pct wk covid lab det,quantile,0.75,6.6
2026-01-24,2026-02-07,2,mb,pct wk covid lab det,quantile,0.9,7.9
2026-01-24,2026-02-07,2,mb,pct wk covid lab det,quantile,0.975,9.5
2026-01-24,2026-02-14,3,mb,pct wk covid lab det,quantile,0.025,2
2026-01-24,2026-02-14,3,mb,pct wk covid lab det,quantile,0.1,3.1
2026-01-24,2026-02-14,3,mb,pct wk covid lab det,quantile,0.25,4.2
2026-01-24,2026-02-14,3,mb,pct wk covid lab det,quantile,0.5,5.6
2026-01-24,2026-02-14,3,mb,pct wk covid lab det,quantile,0.75,7.1
2026-01-24,2026-02-14,3,mb,pct wk covid lab det,quantile,0.9,8.7
2026-01-24,2026-02-14,3,mb,pct wk covid lab det,quantile,0.975,10.6
2026-01-24,2026-01-17,-1,on,pct wk covid lab det,quantile,0.025,4.2
2026-01-24,2026-01-17,-1,on,pct wk covid lab det,quantile,0.1,5
2026-01-24,2026-01-17,-1,on,pct wk covid lab det,quantile,0.25,5.8
2026-01-24,2026-01-17,-1,on,pct wk covid lab det,quantile,0.5,6.8
2026-01-24,2026-01-17,-1,on,pct wk covid lab det,quantile,0.75,7.7
2026-01-24,2026-01-17,-1,on,pct wk covid lab det,quantile,0.9,8.6
2026-01-24,2026-01-17,-1,on,pct wk covid lab det,quantile,0.975,9.6
2026-01-24,2026-01-24,0,on,pct wk covid lab det,quantile,0.025,3.3
2026-01-24,2026-01-24,0,on,pct wk covid lab det,quantile,0.1,4.3
2026-01-24,2026-01-24,0,on,pct wk covid lab det,quantile,0.25,5.1
2026-01-24,2026-01-24,0,on,pct wk covid lab det,quantile,0.5,6
2026-01-24,2026-01-24,0,on,pct wk covid lab det,quantile,0.75,6.9
2026-01-24,2026-01-24,0,on,pct wk covid lab det,quantile,0.9,7.7
2026-01-24,2026-01-24,0,on,pct wk covid lab det,quantile,0.975,8.6
2026-01-24,2026-01-31,1,on,pct wk covid lab det,quantile,0.025,4
2026-01-24,2026-01-31,1,on,pct wk covid lab det,quantile,0.1,4.8
2026-01-24,2026-01-31,1,on,pct wk covid lab det,quantile,0.25,5.6
2026-01-24,2026-01-31,1,on,pct wk covid lab det,quantile,0.5,6.5
2026-01-24,2026-01-31,1,on,pct wk covid lab det,quantile,0.75,7.5
2026-01-24,2026-01-31,1,on,pct wk covid lab det,quantile,0.9,8.5
2026-01-24,2026-01-31,1,on,pct wk covid lab det,quantile,0.975,9.4
2026-01-24,2026-02-07,2,on,pct wk covid lab det,quantile,0.025,4.1
2026-01-24,2026-02-07,2,on,pct wk covid lab det,quantile,0.1,5.2
2026-01-24,2026-02-07,2,on,pct wk covid lab det,quantile,0.25,6
2026-01-24,2026-02-07,2,on,pct wk covid lab det,quantile,0.5,6.9
2026-01-24,2026-02-07,2,on,pct wk covid lab det,quantile,0.75,7.9
2026-01-24,2026-02-07,2,on,pct wk covid lab det,quantile,0.9,9
2026-01-24,2026-02-07,2,on,pct wk covid lab det,quantile,0.975,10.1
2026-01-24,2026-02-14,3,on,pct wk covid lab det,quantile,0.025,4.5
2026-01-24,2026-02-14,3,on,pct wk covid lab det,quantile,0.1,5.3
2026-01-24,2026-02-14,3,on,pct wk covid lab det,quantile,0.25,6.2
2026-01-24,2026-02-14,3,on,pct wk covid lab det,quantile,0.5,7.2
2026-01-24,2026-02-14,3,on,pct wk covid lab det,quantile,0.75,8.4
2026-01-24,2026-02-14,3,on,pct wk covid lab det,quantile,0.9,9.4
2026-01-24,2026-02-14,3,on,pct wk covid lab det,quantile,0.975,11.1
2026-01-24,2026-01-17,-1,ab,pct wk covid lab det,quantile,0.025,1.7
2026-01-24,2026-01-17,-1,ab,pct wk covid lab det,quantile,0.1,2.4
2026-01-24,2026-01-17,-1,ab,pct wk covid lab det,quantile,0.25,3
2026-01-24,2026-01-17,-1,ab,pct wk covid lab det,quantile,0.5,3.8
