reference_date,target_end_date,horizon,location,target,output_type,output_type_id,value
2026-03-21,2026-03-14,-1,qc,pct wk rsv lab det,quantile,0.025,6.3
2026-03-21,2026-03-14,-1,qc,pct wk rsv lab det,quantile,0.1,7.3
2026-03-21,2026-03-14,-1,qc,pct wk rsv lab det,quantile,0.25,8
2026-03-21,2026-03-14,-1,qc,pct wk rsv lab det,quantile,0.5,8.9
2026-03-21,2026-03-14,-1,qc,pct wk rsv lab det,quantile,0.75,9.8
2026-03-21,2026-03-14,-1,qc,pct wk rsv lab det,quantile,0.9,10.8
2026-03-21,2026-03-14,-1,qc,pct wk rsv lab det,quantile,0.975,11.7
2026-03-21,2026-03-21,0,qc,pct wk rsv lab det,quantile,0.025,6.6
2026-03-21,2026-03-21,0,qc,pct wk rsv lab det,quantile,0.1,7.5
2026-03-21,2026-03-21,0,qc,pct wk rsv lab det,quantile,0.25,8.6
2026-03-21,2026-03-21,0,qc,pct wk rsv lab det,quantile,0.5,9.5
2026-03-21,2026-03-21,0,qc,pct wk rsv lab det,quantile,0.75,10.5
2026-03-21,2026-03-21,0,qc,pct wk rsv lab det,quantile,0.9,11.7
2026-03-21,2026-03-21,0,qc,pct wk rsv lab det,quantile,0.975,12.8
2026-03-21,2026-03-28,1,qc,pct wk rsv lab det,quantile,0.025,5.6
2026-03-21,2026-03-28,1,qc,pct wk rsv lab det,quantile,0.1,7.3
2026-03-21,2026-03-28,1,qc,pct wk rsv lab det,quantile,0.25,8.4
2026-03-21,2026-03-28,1,qc,pct wk rsv lab det,quantile,0.5,9.7
2026-03-21,2026-03-28,1,qc,pct wk rsv lab det,quantile,0.75,10.9
2026-03-21,2026-03-28,1,qc,pct wk rsv lab det,quantile,0.9,12
2026-03-21,2026-03-28,1,qc,pct wk rsv lab det,quantile,0.975,13.7
2026-03-21,2026-04-04,2,qc,pct wk rsv lab det,quantile,0.025,5.4
2026-03-21,2026-04-04,2,qc,pct wk rsv lab det,quantile,0.1,7
2026-03-21,2026-04-04,2,qc,pct wk rsv lab det,quantile,0.25,8.3
2026-03-21,2026-04-04,2,qc,pct wk rsv lab det,quantile,0.5,9.6
2026-03-21,2026-04-04,2,qc,pct wk rsv lab det,quantile,0.75,10.9
2026-03-21,2026-04-04,2,qc,pct wk rsv lab det,quantile,0.9,12.4
2026-03-21,2026-04-04,2,qc,pct wk rsv lab det,quantile,0.975,14.6
2026-03-21,2026-04-11,3,qc,pct wk rsv lab det,quantile,0.025,4.3
2026-03-21,2026-04-11,3,qc,pct wk rsv lab det,quantile,0.1,6.7
2026-03-21,2026-04-11,3,qc,pct wk rsv lab det,quantile,0.25,8.1
2026-03-21,2026-04-11,3,qc,pct wk rsv lab det,quantile,0.5,9.6
2026-03-21,2026-04-11,3,qc,pct wk rsv lab det,quantile,0.75,11.1
2026-03-21,2026-04-11,3,qc,pct wk rsv lab det,quantile,0.9,12.7
2026-03-21,2026-04-11,3,qc,pct wk rsv lab det,quantile,0.975,15.1
2026-03-21,2026-03-14,-1,mb,pct wk rsv lab det,quantile,0.025,1.8
2026-03-21,2026-03-14,-1,mb,pct wk rsv lab det,quantile,0.1,2.6
2026-03-21,2026-03-14,-1,mb,pct wk rsv lab det,quantile,0.25,3.3
2026-03-21,2026-03-14,-1,mb,pct wk rsv lab det,quantile,0.5,4.2
2026-03-21,2026-03-14,-1,mb,pct wk rsv lab det,quantile,0.75,4.9
2026-03-21,2026-03-14,-1,mb,pct wk rsv lab det,quantile,0.9,5.6
2026-03-21,2026-03-14,-1,mb,pct wk rsv lab det,quantile,0.975,6.3
2026-03-21,2026-03-21,0,mb,pct wk rsv lab det,quantile,0.025,1.2
2026-03-21,2026-03-21,0,mb,pct wk rsv lab det,quantile,0.1,2.4
2026-03-21,2026-03-21,0,mb,pct wk rsv lab det,quantile,0.25,3.2
2026-03-21,2026-03-21,0,mb,pct wk rsv lab det,quantile,0.5,4.1
2026-03-21,2026-03-21,0,mb,pct wk rsv lab det,quantile,0.75,5
2026-03-21,2026-03-21,0,mb,pct wk rsv lab det,quantile,0.9,5.9
2026-03-21,2026-03-21,0,mb,pct wk rsv lab det,quantile,0.975,7.4
2026-03-21,2026-03-28,1,mb,pct wk rsv lab det,quantile,0.025,1.6
2026-03-21,2026-03-28,1,mb,pct wk rsv lab det,quantile,0.1,2.6
2026-03-21,2026-03-28,1,mb,pct wk rsv lab det,quantile,0.25,3.4
2026-03-21,2026-03-28,1,mb,pct wk rsv lab det,quantile,0.5,4.2
2026-03-21,2026-03-28,1,mb,pct wk rsv lab det,quantile,0.75,5.1
2026-03-21,2026-03-28,1,mb,pct wk rsv lab det,quantile,0.9,5.9
2026-03-21,2026-03-28,1,mb,pct wk rsv lab det,quantile,0.975,7.1
2026-03-21,2026-04-04,2,mb,pct wk rsv lab det,quantile,0.025,2.1
2026-03-21,2026-04-04,2,mb,pct wk rsv lab det,quantile,0.1,2.9
2026-03-21,2026-04-04,2,mb,pct wk rsv lab det,quantile,0.25,3.7
2026-03-21,2026-04-04,2,mb,pct wk rsv lab det,quantile,0.5,4.4
2026-03-21,2026-04-04,2,mb,pct wk rsv lab det,quantile,0.75,5.2
2026-03-21,2026-04-04,2,mb,pct wk rsv lab det,quantile,0.9,6.3
2026-03-21,2026-04-04,2,mb,pct wk rsv lab det,quantile,0.975,8.1
2026-03-21,2026-04-11,3,mb,pct wk rsv lab det,quantile,0.025,2.1
2026-03-21,2026-04-11,3,mb,pct wk rsv lab det,quantile,0.1,2.9
2026-03-21,2026-04-11,3,mb,pct wk rsv lab det,quantile,0.25,3.7
2026-03-21,2026-04-11,3,mb,pct wk rsv lab det,quantile,0.5,4.5
2026-03-21,2026-04-11,3,mb,pct wk rsv lab det,quantile,0.75,5.5
2026-03-21,2026-04-11,3,mb,pct wk rsv lab det,quantile,0.9,6.9
2026-03-21,2026-04-11,3,mb,pct wk rsv lab det,quantile,0.975,9.3
2026-03-21,2026-03-14,-1,on,pct wk rsv lab det,quantile,0.025,3.5
2026-03-21,2026-03-14,-1,on,pct wk rsv lab det,quantile,0.1,4.4
2026-03-21,2026-03-14,-1,on,pct wk rsv lab det,quantile,0.25,5.1
2026-03-21,2026-03-14,-1,on,pct wk rsv lab det,quantile,0.5,5.9
2026-03-21,2026-03-14,-1,on,pct wk rsv lab det,quantile,0.75,6.7
2026-03-21,2026-03-14,-1,on,pct wk rsv lab det,quantile,0.9,7.5
2026-03-21,2026-03-14,-1,on,pct wk rsv lab det,quantile,0.975,8.4
2026-03-21,2026-03-21,0,on,pct wk rsv lab det,quantile,0.025,3.5
2026-03-21,2026-03-21,0,on,pct wk rsv lab det,quantile,0.1,4.6
2026-03-21,2026-03-21,0,on,pct wk rsv lab det,quantile,0.25,5.5
2026-03-21,2026-03-21,0,on,pct wk rsv lab det,quantile,0.5,6.3
2026-03-21,2026-03-21,0,on,pct wk rsv lab det,quantile,0.75,7.3
2026-03-21,2026-03-21,0,on,pct wk rsv lab det,quantile,0.9,8.3
2026-03-21,2026-03-21,0,on,pct wk rsv lab det,quantile,0.975,9.3
2026-03-21,2026-03-28,1,on,pct wk rsv lab det,quantile,0.025,2.7
2026-03-21,2026-03-28,1,on,pct wk rsv lab det,quantile,0.1,4.4
2026-03-21,2026-03-28,1,on,pct wk rsv lab det,quantile,0.25,5.3
2026-03-21,2026-03-28,1,on,pct wk rsv lab det,quantile,0.5,6.4
2026-03-21,2026-03-28,1,on,pct wk rsv lab det,quantile,0.75,7.5
2026-03-21,2026-03-28,1,on,pct wk rsv lab det,quantile,0.9,8.6
2026-03-21,2026-03-28,1,on,pct wk rsv lab det,quantile,0.975,10.1
2026-03-21,2026-04-04,2,on,pct wk rsv lab det,quantile,0.025,2.1
2026-03-21,2026-04-04,2,on,pct wk rsv lab det,quantile,0.1,4.1
2026-03-21,2026-04-04,2,on,pct wk rsv lab det,quantile,0.25,5.2
2026-03-21,2026-04-04,2,on,pct wk rsv lab det,quantile,0.5,6.2
2026-03-21,2026-04-04,2,on,pct wk rsv lab det,quantile,0.75,7.3
2026-03-21,2026-04-04,2,on,pct wk rsv lab det,quantile,0.9,8.3
2026-03-21,2026-04-04,2,on,pct wk rsv lab det,quantile,0.975,9.7
2026-03-21,2026-04-11,3,on,pct wk rsv lab det,quantile,0.025,1.6
2026-03-21,2026-04-11,3,on,pct wk rsv lab det,quantile,0.1,3.8
2026-03-21,2026-04-11,3,on,pct wk rsv lab det,quantile,0.25,5.1
2026-03-21,2026-04-11,3,on,pct wk rsv lab det,quantile,0.5,6.3
2026-03-21,2026-04-11,3,on,pct wk rsv lab det,quantile,0.75,7.4
2026-03-21,2026-04-11,3,on,pct wk rsv lab det,quantile,0.9,8.6
2026-03-21,2026-04-11,3,on,pct wk rsv lab det,quantile,0.975,10.6
2026-03-21,2026-03-14,-1,ab,pct wk rsv lab det,quantile,0.025,4.5
2026-03-21,2026-03-14,-1,ab,pct wk rsv lab det,quantile,0.1,5.4
2026-03-21,2026-03-14,-1,ab,pct wk rsv lab det,quantile,0.25,6
2026-03-21,2026-03-14,-1,ab,pct wk rsv lab det,quantile,0.5,6.9
2026-03-21,2026-03-14,-1,ab,pct wk rsv lab det,quantile,0.75,7.6
2026-03-21,2026-03-14,-1,ab,pct wk rsv lab det,quantile,0.9,8.3
2026-03-21,2026-03-14,-1,ab,pct wk rsv lab det,quantile,0.975,9.2
2026-03-21,2026-03-21,0,ab,pct wk rsv lab det,quantile,0.025,4.2
2026-03-21,2026-03-21,0,ab,pct wk rsv lab det,quantile,0.1,5.3
2026-03-21,2026-03-21,0,ab,pct wk rsv lab det,quantile,0.25,6.2
2026-03-21,2026-03-21,0,ab,pct wk rsv lab det,quantile,0.5,7.1
2026-03-21,2026-03-21,0,ab,pct wk rsv lab det,quantile,0.75,8.1
2026-03-21,2026-03-21,0,ab,pct wk rsv lab det,quantile,0.9,8.9
