reference_date,target_end_date,horizon,location,target,output_type,output_type_id,value
2026-02-07,2026-01-31,-1,ab,pct wk covid lab det,quantile,0.025,2
2026-02-07,2026-01-31,-1,ab,pct wk covid lab det,quantile,0.1,2.7
2026-02-07,2026-01-31,-1,ab,pct wk covid lab det,quantile,0.25,3.2
2026-02-07,2026-01-31,-1,ab,pct wk covid lab det,quantile,0.5,4
2026-02-07,2026-01-31,-1,ab,pct wk covid lab det,quantile,0.75,4.7
2026-02-07,2026-01-31,-1,ab,pct wk covid lab det,quantile,0.9,5.2
2026-02-07,2026-01-31,-1,ab,pct wk covid lab det,quantile,0.975,5.9
2026-02-07,2026-02-07,0,ab,pct wk covid lab det,quantile,0.025,2.3
2026-02-07,2026-02-07,0,ab,pct wk covid lab det,quantile,0.1,3
2026-02-07,2026-02-07,0,ab,pct wk covid lab det,quantile,0.25,3.4
2026-02-07,2026-02-07,0,ab,pct wk covid lab det,quantile,0.5,4
2026-02-07,2026-02-07,0,ab,pct wk covid lab det,quantile,0.75,4.6
2026-02-07,2026-02-07,0,ab,pct wk covid lab det,quantile,0.9,5.2
2026-02-07,2026-02-07,0,ab,pct wk covid lab det,quantile,0.975,6
2026-02-07,2026-02-14,1,ab,pct wk covid lab det,quantile,0.025,2.2
2026-02-07,2026-02-14,1,ab,pct wk covid lab det,quantile,0.1,2.8
2026-02-07,2026-02-14,1,ab,pct wk covid lab det,quantile,0.25,3.2
2026-02-07,2026-02-14,1,ab,pct wk covid lab det,quantile,0.5,3.8
2026-02-07,2026-02-14,1,ab,pct wk covid lab det,quantile,0.75,4.5
2026-02-07,2026-02-14,1,ab,pct wk covid lab det,quantile,0.9,5
2026-02-07,2026-02-14,1,ab,pct wk covid lab det,quantile,0.975,5.7
2026-02-07,2026-02-21,2,ab,pct wk covid lab det,quantile,0.025,2.1
2026-02-07,2026-02-21,2,ab,pct wk covid lab det,quantile,0.1,2.8
2026-02-07,2026-02-21,2,ab,pct wk covid lab det,quantile,0.25,3.3
2026-02-07,2026-02-21,2,ab,pct wk covid lab det,quantile,0.5,3.9
2026-02-07,2026-02-21,2,ab,pct wk covid lab det,quantile,0.75,4.6
2026-02-07,2026-02-21,2,ab,pct wk covid lab det,quantile,0.9,5.2
2026-02-07,2026-02-21,2,ab,pct wk covid lab det,quantile,0.975,6
2026-02-07,2026-02-28,3,ab,pct wk covid lab det,quantile,0.025,1.9
2026-02-07,2026-02-28,3,ab,pct wk covid lab det,quantile,0.1,2.6
2026-02-07,2026-02-28,3,ab,pct wk covid lab det,quantile,0.25,3.2
2026-02-07,2026-02-28,3,ab,pct wk covid lab det,quantile,0.5,3.9
2026-02-07,2026-02-28,3,ab,pct wk covid lab det,quantile,0.75,4.8
2026-02-07,2026-02-28,3,ab,pct wk covid lab det,quantile,0.9,5.6
2026-02-07,2026-02-28,3,ab,pct wk covid lab det,quantile,0.975,6.4
2026-02-07,2026-01-31,-1,atlantic,pct wk covid lab det,quantile,0.025,4.5
2026-02-07,2026-01-31,-1,atlantic,pct wk covid lab det,quantile,0.1,5.4
2026-02-07,2026-01-31,-1,atlantic,pct wk covid lab det,quantile,0.25,6.2
2026-02-07,2026-01-31,-1,atlantic,pct wk covid lab det,quantile,0.5,7
2026-02-07,2026-01-31,-1,atlantic,pct wk covid lab det,quantile,0.75,7.9
2026-02-07,2026-01-31,-1,atlantic,pct wk covid lab det,quantile,0.9,8.7
2026-02-07,2026-01-31,-1,atlantic,pct wk covid lab det,quantile,0.975,9.5
2026-02-07,2026-02-07,0,atlantic,pct wk covid lab det,quantile,0.025,4.6
2026-02-07,2026-02-07,0,atlantic,pct wk covid lab det,quantile,0.1,5.5
2026-02-07,2026-02-07,0,atlantic,pct wk covid lab det,quantile,0.25,6.1
2026-02-07,2026-02-07,0,atlantic,pct wk covid lab det,quantile,0.5,7
2026-02-07,2026-02-07,0,atlantic,pct wk covid lab det,quantile,0.75,7.8
2026-02-07,2026-02-07,0,atlantic,pct wk covid lab det,quantile,0.9,8.5
2026-02-07,2026-02-07,0,atlantic,pct wk covid lab det,quantile,0.975,9.3
2026-02-07,2026-02-14,1,atlantic,pct wk covid lab det,quantile,0.025,4.3
2026-02-07,2026-02-14,1,atlantic,pct wk covid lab det,quantile,0.1,5.3
2026-02-07,2026-02-14,1,atlantic,pct wk covid lab det,quantile,0.25,5.9
2026-02-07,2026-02-14,1,atlantic,pct wk covid lab det,quantile,0.5,6.8
2026-02-07,2026-02-14,1,atlantic,pct wk covid lab det,quantile,0.75,7.6
2026-02-07,2026-02-14,1,atlantic,pct wk covid lab det,quantile,0.9,8.5
2026-02-07,2026-02-14,1,atlantic,pct wk covid lab det,quantile,0.975,9.4
2026-02-07,2026-02-21,2,atlantic,pct wk covid lab det,quantile,0.025,4
2026-02-07,2026-02-21,2,atlantic,pct wk covid lab det,quantile,0.1,4.9
2026-02-07,2026-02-21,2,atlantic,pct wk covid lab det,quantile,0.25,5.8
2026-02-07,2026-02-21,2,atlantic,pct wk covid lab det,quantile,0.5,6.7
2026-02-07,2026-02-21,2,atlantic,pct wk covid lab det,quantile,0.75,7.6
2026-02-07,2026-02-21,2,atlantic,pct wk covid lab det,quantile,0.9,8.5
2026-02-07,2026-02-21,2,atlantic,pct wk covid lab det,quantile,0.975,9.7
2026-02-07,2026-02-28,3,atlantic,pct wk covid lab det,quantile,0.025,3.5
2026-02-07,2026-02-28,3,atlantic,pct wk covid lab det,quantile,0.1,4.5
2026-02-07,2026-02-28,3,atlantic,pct wk covid lab det,quantile,0.25,5.4
2026-02-07,2026-02-28,3,atlantic,pct wk covid lab det,quantile,0.5,6.5
2026-02-07,2026-02-28,3,atlantic,pct wk covid lab det,quantile,0.75,7.3
2026-02-07,2026-02-28,3,atlantic,pct wk covid lab det,quantile,0.9,8.4
2026-02-07,2026-02-28,3,atlantic,pct wk covid lab det,quantile,0.975,9.6
2026-02-07,2026-01-31,-1,bc,pct wk covid lab det,quantile,0.025,1.2
2026-02-07,2026-01-31,-1,bc,pct wk covid lab det,quantile,0.1,2.1
2026-02-07,2026-01-31,-1,bc,pct wk covid lab det,quantile,0.25,2.8
2026-02-07,2026-01-31,-1,bc,pct wk covid lab det,quantile,0.5,3.7
2026-02-07,2026-01-31,-1,bc,pct wk covid lab det,quantile,0.75,4.4
2026-02-07,2026-01-31,-1,bc,pct wk covid lab det,quantile,0.9,5.2
2026-02-07,2026-01-31,-1,bc,pct wk covid lab det,quantile,0.975,6
