reference_date,target_end_date,horizon,location,target,output_type,output_type_id,value
2026-03-28,2026-03-21,-1,ab,pct wk covid lab det,quantile,0.025,0
2026-03-28,2026-03-21,-1,ab,pct wk covid lab det,quantile,0.1,0.6
2026-03-28,2026-03-21,-1,ab,pct wk covid lab det,quantile,0.25,1.2
2026-03-28,2026-03-21,-1,ab,pct wk covid lab det,quantile,0.5,1.9
2026-03-28,2026-03-21,-1,ab,pct wk covid lab det,quantile,0.75,2.5
2026-03-28,2026-03-21,-1,ab,pct wk covid lab det,quantile,0.9,3.1
2026-03-28,2026-03-21,-1,ab,pct wk covid lab det,quantile,0.975,3.6
2026-03-28,2026-03-28,0,ab,pct wk covid lab det,quantile,0.025,0.7
2026-03-28,2026-03-28,0,ab,pct wk covid lab det,quantile,0.1,1.1
2026-03-28,2026-03-28,0,ab,pct wk covid lab det,quantile,0.25,1.4
2026-03-28,2026-03-28,0,ab,pct wk covid lab det,quantile,0.5,1.8
2026-03-28,2026-03-28,0,ab,pct wk covid lab det,quantile,0.75,2.2
2026-03-28,2026-03-28,0,ab,pct wk covid lab det,quantile,0.9,2.6
2026-03-28,2026-03-28,0,ab,pct wk covid lab det,quantile,0.975,2.9
2026-03-28,2026-04-04,1,ab,pct wk covid lab det,quantile,0.025,0.3
2026-03-28,2026-04-04,1,ab,pct wk covid lab det,quantile,0.1,0.8
2026-03-28,2026-04-04,1,ab,pct wk covid lab det,quantile,0.25,1.2
2026-03-28,2026-04-04,1,ab,pct wk covid lab det,quantile,0.5,1.5
2026-03-28,2026-04-04,1,ab,pct wk covid lab det,quantile,0.75,1.8
2026-03-28,2026-04-04,1,ab,pct wk covid lab det,quantile,0.9,2.2
2026-03-28,2026-04-04,1,ab,pct wk covid lab det,quantile,0.975,2.5
2026-03-28,2026-04-11,2,ab,pct wk covid lab det,quantile,0.025,0.1
2026-03-28,2026-04-11,2,ab,pct wk covid lab det,quantile,0.1,0.6
2026-03-28,2026-04-11,2,ab,pct wk covid lab det,quantile,0.25,0.9
2026-03-28,2026-04-11,2,ab,pct wk covid lab det,quantile,0.5,1.2
2026-03-28,2026-04-11,2,ab,pct wk covid lab det,quantile,0.75,1.5
2026-03-28,2026-04-11,2,ab,pct wk covid lab det,quantile,0.9,1.8
2026-03-28,2026-04-11,2,ab,pct wk covid lab det,quantile,0.975,2.2
2026-03-28,2026-04-18,3,ab,pct wk covid lab det,quantile,0.025,0.1
2026-03-28,2026-04-18,3,ab,pct wk covid lab det,quantile,0.1,0.5
2026-03-28,2026-04-18,3,ab,pct wk covid lab det,quantile,0.25,0.7
2026-03-28,2026-04-18,3,ab,pct wk covid lab det,quantile,0.5,1
2026-03-28,2026-04-18,3,ab,pct wk covid lab det,quantile,0.75,1.3
2026-03-28,2026-04-18,3,ab,pct wk covid lab det,quantile,0.9,1.5
2026-03-28,2026-04-18,3,ab,pct wk covid lab det,quantile,0.975,1.8
2026-03-28,2026-03-21,-1,ns,pct wk covid lab det,quantile,0.025,0
2026-03-28,2026-03-21,-1,ns,pct wk covid lab det,quantile,0.1,0
2026-03-28,2026-03-21,-1,ns,pct wk covid lab det,quantile,0.25,0
2026-03-28,2026-03-21,-1,ns,pct wk covid lab det,quantile,0.5,1.1
2026-03-28,2026-03-21,-1,ns,pct wk covid lab det,quantile,0.75,2.7
2026-03-28,2026-03-21,-1,ns,pct wk covid lab det,quantile,0.9,4.2
2026-03-28,2026-03-21,-1,ns,pct wk covid lab det,quantile,0.975,5.8
2026-03-28,2026-03-28,0,ns,pct wk covid lab det,quantile,0.025,0
2026-03-28,2026-03-28,0,ns,pct wk covid lab det,quantile,0.1,0
2026-03-28,2026-03-28,0,ns,pct wk covid lab det,quantile,0.25,0.3
2026-03-28,2026-03-28,0,ns,pct wk covid lab det,quantile,0.5,1.2
2026-03-28,2026-03-28,0,ns,pct wk covid lab det,quantile,0.75,2
2026-03-28,2026-03-28,0,ns,pct wk covid lab det,quantile,0.9,2.9
2026-03-28,2026-03-28,0,ns,pct wk covid lab det,quantile,0.975,3.9
2026-03-28,2026-04-04,1,ns,pct wk covid lab det,quantile,0.025,0
2026-03-28,2026-04-04,1,ns,pct wk covid lab det,quantile,0.1,0
2026-03-28,2026-04-04,1,ns,pct wk covid lab det,quantile,0.25,0.1
2026-03-28,2026-04-04,1,ns,pct wk covid lab det,quantile,0.5,0.8
2026-03-28,2026-04-04,1,ns,pct wk covid lab det,quantile,0.75,1.6
2026-03-28,2026-04-04,1,ns,pct wk covid lab det,quantile,0.9,2.5
2026-03-28,2026-04-04,1,ns,pct wk covid lab det,quantile,0.975,3.3
2026-03-28,2026-04-11,2,ns,pct wk covid lab det,quantile,0.025,0
2026-03-28,2026-04-11,2,ns,pct wk covid lab det,quantile,0.1,0
2026-03-28,2026-04-11,2,ns,pct wk covid lab det,quantile,0.25,0.1
2026-03-28,2026-04-11,2,ns,pct wk covid lab det,quantile,0.5,0.7
2026-03-28,2026-04-11,2,ns,pct wk covid lab det,quantile,0.75,1.3
2026-03-28,2026-04-11,2,ns,pct wk covid lab det,quantile,0.9,2.2
2026-03-28,2026-04-11,2,ns,pct wk covid lab det,quantile,0.975,3
2026-03-28,2026-04-18,3,ns,pct wk covid lab det,quantile,0.025,0
2026-03-28,2026-04-18,3,ns,pct wk covid lab det,quantile,0.1,0
2026-03-28,2026-04-18,3,ns,pct wk covid lab det,quantile,0.25,0
2026-03-28,2026-04-18,3,ns,pct wk covid lab det,quantile,0.5,0.5
2026-03-28,2026-04-18,3,ns,pct wk covid lab det,quantile,0.75,1.1
2026-03-28,2026-04-18,3,ns,pct wk covid lab det,quantile,0.9,1.7
2026-03-28,2026-04-18,3,ns,pct wk covid lab det,quantile,0.975,2.5
2026-03-28,2026-03-21,-1,nb,pct wk covid lab det,quantile,0.025,0
2026-03-28,2026-03-21,-1,nb,pct wk covid lab det,quantile,0.1,0
2026-03-28,2026-03-21,-1,nb,pct wk covid lab det,quantile,0.25,1.2
2026-03-28,2026-03-21,-1,nb,pct wk covid lab det,quantile,0.5,2
2026-03-28,2026-03-21,-1,nb,pct wk covid lab det,quantile,0.75,3.1
2026-03-28,2026-03-21,-1,nb,pct wk covid lab det,quantile,0.9,4.1
2026-03-28,2026-03-21,-1,nb,pct wk covid lab det,quantile,0.975,5.2
2026-03-28,2026-03-28,0,nb,pct wk covid lab det,quantile,0.025,0
2026-03-28,2026-03-28,0,nb,pct wk covid lab det,quantile,0.1,0.4
2026-03-28,2026-03-28,0,nb,pct wk covid lab det,quantile,0.25,1.2
2026-03-28,2026-03-28,0,nb,pct wk covid lab det,quantile,0.5,1.9
2026-03-28,2026-03-28,0,nb,pct wk covid lab det,quantile,0.75,2.4
2026-03-28,2026-03-28,0,nb,pct wk covid lab det,quantile,0.9,3.1
2026-03-28,2026-03-28,0,nb,pct wk covid lab det,quantile,0.975,3.7
2026-03-28,2026-04-04,1,nb,pct wk covid lab det,quantile,0.025,0
2026-03-28,2026-04-04,1,nb,pct wk covid lab det,quantile,0.1,0.4
2026-03-28,2026-04-04,1,nb,pct wk covid lab det,quantile,0.25,0.9
2026-03-28,2026-04-04,1,nb,pct wk covid lab det,quantile,0.5,1.3
2026-03-28,2026-04-04,1,nb,pct wk covid lab det,quantile,0.75,1.9
2026-03-28,2026-04-04,1,nb,pct wk covid lab det,quantile,0.9,2.4
2026-03-28,2026-04-04,1,nb,pct wk covid lab det,quantile,0.975,3.1
2026-03-28,2026-04-11,2,nb,pct wk covid lab det,quantile,0.025,0
2026-03-28,2026-04-11,2,nb,pct wk covid lab det,quantile,0.1,0.3
2026-03-28,2026-04-11,2,nb,pct wk covid lab det,quantile,0.25,0.7
2026-03-28,2026-04-11,2,nb,pct wk covid lab det,quantile,0.5,1.2
2026-03-28,2026-04-11,2,nb,pct wk covid lab det,quantile,0.75,1.7
2026-03-28,2026-04-11,2,nb,pct wk covid lab det,quantile,0.9,2.1
2026-03-28,2026-04-11,2,nb,pct wk covid lab det,quantile,0.975,2.7
2026-03-28,2026-04-18,3,nb,pct wk covid lab det,quantile,0.025,0
2026-03-28,2026-04-18,3,nb,pct wk covid lab det,quantile,0.1,0.1
2026-03-28,2026-04-18,3,nb,pct wk covid lab det,quantile,0.25,0.5
2026-03-28,2026-04-18,3,nb,pct wk covid lab det,quantile,0.5,0.9
2026-03-28,2026-04-18,3,nb,pct wk covid lab det,quantile,0.75,1.3
2026-03-28,2026-04-18,3,nb,pct wk covid lab det,quantile,0.9,1.7
2026-03-28,2026-04-18,3,nb,pct wk covid lab det,quantile,0.975,2.2
2026-03-28,2026-03-21,-1,atlantic,pct wk covid lab det,quantile,0.025,0
2026-03-28,2026-03-21,-1,atlantic,pct wk covid lab det,quantile,0.1,0.1
2026-03-28,2026-03-21,-1,atlantic,pct wk covid lab det,quantile,0.25,0.9
2026-03-28,2026-03-21,-1,atlantic,pct wk covid lab det,quantile,0.5,1.7
2026-03-28,2026-03-21,-1,atlantic,pct wk covid lab det,quantile,0.75,2.5
2026-03-28,2026-03-21,-1,atlantic,pct wk covid lab det,quantile,0.9,3.3
2026-03-28,2026-03-21,-1,atlantic,pct wk covid lab det,quantile,0.975,4.1
2026-03-28,2026-03-28,0,atlantic,pct wk covid lab det,quantile,0.025,0
2026-03-28,2026-03-28,0,atlantic,pct wk covid lab det,quantile,0.1,0.6
2026-03-28,2026-03-28,0,atlantic,pct wk covid lab det,quantile,0.25,1
2026-03-28,2026-03-28,0,atlantic,pct wk covid lab det,quantile,0.5,1.5
2026-03-28,2026-03-28,0,atlantic,pct wk covid lab det,quantile,0.75,2
2026-03-28,2026-03-28,0,atlantic,pct wk covid lab det,quantile,0.9,2.4
2026-03-28,2026-03-28,0,atlantic,pct wk covid lab det,quantile,0.975,2.9
2026-03-28,2026-04-04,1,atlantic,pct wk covid lab det,quantile,0.025,0
2026-03-28,2026-04-04,1,atlantic,pct wk covid lab det,quantile,0.1,0.4
2026-03-28,2026-04-04,1,atlantic,pct wk covid lab det,quantile,0.25,0.7
2026-03-28,2026-04-04,1,atlantic,pct wk covid lab det,quantile,0.5,1.1
2026-03-28,2026-04-04,1,atlantic,pct wk covid lab det,quantile,0.75,1.6
2026-03-28,2026-04-04,1,atlantic,pct wk covid lab det,quantile,0.9,1.9
2026-03-28,2026-04-04,1,atlantic,pct wk covid lab det,quantile,0.975,2.4
2026-03-28,2026-04-11,2,atlantic,pct wk covid lab det,quantile,0.025,0
2026-03-28,2026-04-11,2,atlantic,pct wk covid lab det,quantile,0.1,0.3
2026-03-28,2026-04-11,2,atlantic,pct wk covid lab det,quantile,0.25,0.6
2026-03-28,2026-04-11,2,atlantic,pct wk covid lab det,quantile,0.5,1
2026-03-28,2026-04-11,2,atlantic,pct wk covid lab det,quantile,0.75,1.4
2026-03-28,2026-04-11,2,atlantic,pct wk covid lab det,quantile,0.9,1.7
2026-03-28,2026-04-11,2,atlantic,pct wk covid lab det,quantile,0.975,2.1
2026-03-28,2026-04-18,3,atlantic,pct wk covid lab det,quantile,0.025,0
2026-03-28,2026-04-18,3,atlantic,pct wk covid lab det,quantile,0.1,0.2
2026-03-28,2026-04-18,3,atlantic,pct wk covid lab det,quantile,0.25,0.5
2026-03-28,2026-04-18,3,atlantic,pct wk covid lab det,quantile,0.5,0.8
2026-03-28,2026-04-18,3,atlantic,pct wk covid lab det,quantile,0.75,1.1
2026-03-28,2026-04-18,3,atlantic,pct wk covid lab det,quantile,0.9,1.5
2026-03-28,2026-04-18,3,atlantic,pct wk covid lab det,quantile,0.975,1.8
