reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2026-05-02,pct wk covid lab det,-1,2026-04-25,ab,quantile,0.025,0.902
2026-05-02,pct wk covid lab det,-1,2026-04-25,ab,quantile,0.1,0.936
2026-05-02,pct wk covid lab det,-1,2026-04-25,ab,quantile,0.25,0.9665
2026-05-02,pct wk covid lab det,-1,2026-04-25,ab,quantile,0.5,1.0
2026-05-02,pct wk covid lab det,-1,2026-04-25,ab,quantile,0.75,1.0335
2026-05-02,pct wk covid lab det,-1,2026-04-25,ab,quantile,0.9,1.064
2026-05-02,pct wk covid lab det,-1,2026-04-25,ab,quantile,0.975,1.098
2026-05-02,pct wk covid lab det,0,2026-05-02,ab,quantile,0.025,0.0067
2026-05-02,pct wk covid lab det,0,2026-05-02,ab,quantile,0.1,0.276
2026-05-02,pct wk covid lab det,0,2026-05-02,ab,quantile,0.25,0.5175
2026-05-02,pct wk covid lab det,0,2026-05-02,ab,quantile,0.5,0.7829
2026-05-02,pct wk covid lab det,0,2026-05-02,ab,quantile,0.75,1.0482
2026-05-02,pct wk covid lab det,0,2026-05-02,ab,quantile,0.9,1.2897
2026-05-02,pct wk covid lab det,0,2026-05-02,ab,quantile,0.975,1.559
2026-05-02,pct wk covid lab det,1,2026-05-09,ab,quantile,0.025,0.0
2026-05-02,pct wk covid lab det,1,2026-05-09,ab,quantile,0.1,0.0
2026-05-02,pct wk covid lab det,1,2026-05-09,ab,quantile,0.25,0.3736
2026-05-02,pct wk covid lab det,1,2026-05-09,ab,quantile,0.5,0.7969
2026-05-02,pct wk covid lab det,1,2026-05-09,ab,quantile,0.75,1.2202
2026-05-02,pct wk covid lab det,1,2026-05-09,ab,quantile,0.9,1.6056
2026-05-02,pct wk covid lab det,1,2026-05-09,ab,quantile,0.975,2.0353
2026-05-02,pct wk covid lab det,2,2026-05-16,ab,quantile,0.025,0.0
2026-05-02,pct wk covid lab det,2,2026-05-16,ab,quantile,0.1,0.0
2026-05-02,pct wk covid lab det,2,2026-05-16,ab,quantile,0.25,0.1727
2026-05-02,pct wk covid lab det,2,2026-05-16,ab,quantile,0.5,0.8094
2026-05-02,pct wk covid lab det,2,2026-05-16,ab,quantile,0.75,1.4462
2026-05-02,pct wk covid lab det,2,2026-05-16,ab,quantile,0.9,2.0259
2026-05-02,pct wk covid lab det,2,2026-05-16,ab,quantile,0.975,2.6722
2026-05-02,pct wk covid lab det,3,2026-05-23,ab,quantile,0.025,0.0
2026-05-02,pct wk covid lab det,3,2026-05-23,ab,quantile,0.1,0.0
2026-05-02,pct wk covid lab det,3,2026-05-23,ab,quantile,0.25,0.0
2026-05-02,pct wk covid lab det,3,2026-05-23,ab,quantile,0.5,0.8205
2026-05-02,pct wk covid lab det,3,2026-05-23,ab,quantile,0.75,1.6912
2026-05-02,pct wk covid lab det,3,2026-05-23,ab,quantile,0.9,2.484
2026-05-02,pct wk covid lab det,3,2026-05-23,ab,quantile,0.975,3.3677
2026-05-02,pct wk covid lab det,-1,2026-04-25,atlantic,quantile,0.025,0.932
2026-05-02,pct wk covid lab det,-1,2026-04-25,atlantic,quantile,0.1,0.966
2026-05-02,pct wk covid lab det,-1,2026-04-25,atlantic,quantile,0.25,0.9965
2026-05-02,pct wk covid lab det,-1,2026-04-25,atlantic,quantile,0.5,1.03
2026-05-02,pct wk covid lab det,-1,2026-04-25,atlantic,quantile,0.75,1.0635
2026-05-02,pct wk covid lab det,-1,2026-04-25,atlantic,quantile,0.9,1.094
2026-05-02,pct wk covid lab det,-1,2026-04-25,atlantic,quantile,0.975,1.128
2026-05-02,pct wk covid lab det,0,2026-05-02,atlantic,quantile,0.025,0.1973
2026-05-02,pct wk covid lab det,0,2026-05-02,atlantic,quantile,0.1,0.4666
2026-05-02,pct wk covid lab det,0,2026-05-02,atlantic,quantile,0.25,0.7081
2026-05-02,pct wk covid lab det,0,2026-05-02,atlantic,quantile,0.5,0.9735
2026-05-02,pct wk covid lab det,0,2026-05-02,atlantic,quantile,0.75,1.2388
2026-05-02,pct wk covid lab det,0,2026-05-02,atlantic,quantile,0.9,1.4803
2026-05-02,pct wk covid lab det,0,2026-05-02,atlantic,quantile,0.975,1.7496
2026-05-02,pct wk covid lab det,1,2026-05-09,atlantic,quantile,0.025,0.0
2026-05-02,pct wk covid lab det,1,2026-05-09,atlantic,quantile,0.1,0.1528
2026-05-02,pct wk covid lab det,1,2026-05-09,atlantic,quantile,0.25,0.5381
2026-05-02,pct wk covid lab det,1,2026-05-09,atlantic,quantile,0.5,0.9615
2026-05-02,pct wk covid lab det,1,2026-05-09,atlantic,quantile,0.75,1.3848
2026-05-02,pct wk covid lab det,1,2026-05-09,atlantic,quantile,0.9,1.7702
2026-05-02,pct wk covid lab det,1,2026-05-09,atlantic,quantile,0.975,2.1998
2026-05-02,pct wk covid lab det,2,2026-05-16,atlantic,quantile,0.025,0.0
2026-05-02,pct wk covid lab det,2,2026-05-16,atlantic,quantile,0.1,0.0
2026-05-02,pct wk covid lab det,2,2026-05-16,atlantic,quantile,0.25,0.3258
2026-05-02,pct wk covid lab det,2,2026-05-16,atlantic,quantile,0.5,0.9626
2026-05-02,pct wk covid lab det,2,2026-05-16,atlantic,quantile,0.75,1.5994
2026-05-02,pct wk covid lab det,2,2026-05-16,atlantic,quantile,0.9,2.1791
2026-05-02,pct wk covid lab det,2,2026-05-16,atlantic,quantile,0.975,2.8254
2026-05-02,pct wk covid lab det,3,2026-05-23,atlantic,quantile,0.025,0.0
2026-05-02,pct wk covid lab det,3,2026-05-23,atlantic,quantile,0.1,0.0
2026-05-02,pct wk covid lab det,3,2026-05-23,atlantic,quantile,0.25,0.0993
2026-05-02,pct wk covid lab det,3,2026-05-23,atlantic,quantile,0.5,0.97
2026-05-02,pct wk covid lab det,3,2026-05-23,atlantic,quantile,0.75,1.8407
2026-05-02,pct wk covid lab det,3,2026-05-23,atlantic,quantile,0.9,2.6335
2026-05-02,pct wk covid lab det,3,2026-05-23,atlantic,quantile,0.975,3.5172
2026-05-02,pct wk covid lab det,-1,2026-04-25,bc,quantile,0.025,1.832
2026-05-02,pct wk covid lab det,-1,2026-04-25,bc,quantile,0.1,1.866
2026-05-02,pct wk covid lab det,-1,2026-04-25,bc,quantile,0.25,1.8965
2026-05-02,pct wk covid lab det,-1,2026-04-25,bc,quantile,0.5,1.93
2026-05-02,pct wk covid lab det,-1,2026-04-25,bc,quantile,0.75,1.9635
2026-05-02,pct wk covid lab det,-1,2026-04-25,bc,quantile,0.9,1.994
2026-05-02,pct wk covid lab det,-1,2026-04-25,bc,quantile,0.975,2.028
2026-05-02,pct wk covid lab det,0,2026-05-02,bc,quantile,0.025,0.7273
2026-05-02,pct wk covid lab det,0,2026-05-02,bc,quantile,0.1,1.1421
2026-05-02,pct wk covid lab det,0,2026-05-02,bc,quantile,0.25,1.5142
2026-05-02,pct wk covid lab det,0,2026-05-02,bc,quantile,0.5,1.9229
2026-05-02,pct wk covid lab det,0,2026-05-02,bc,quantile,0.75,2.3316
2026-05-02,pct wk covid lab det,0,2026-05-02,bc,quantile,0.9,2.7037
2026-05-02,pct wk covid lab det,0,2026-05-02,bc,quantile,0.975,3.1185
2026-05-02,pct wk covid lab det,1,2026-05-09,bc,quantile,0.025,0.0151
2026-05-02,pct wk covid lab det,1,2026-05-09,bc,quantile,0.1,0.6658
2026-05-02,pct wk covid lab det,1,2026-05-09,bc,quantile,0.25,1.2495
2026-05-02,pct wk covid lab det,1,2026-05-09,bc,quantile,0.5,1.8907
2026-05-02,pct wk covid lab det,1,2026-05-09,bc,quantile,0.75,2.5318
2026-05-02,pct wk covid lab det,1,2026-05-09,bc,quantile,0.9,3.1155
2026-05-02,pct wk covid lab det,1,2026-05-09,bc,quantile,0.975,3.7662
2026-05-02,pct wk covid lab det,2,2026-05-16,bc,quantile,0.025,0.0
2026-05-02,pct wk covid lab det,2,2026-05-16,bc,quantile,0.1,0.0479
2026-05-02,pct wk covid lab det,2,2026-05-16,bc,quantile,0.25,0.9211
2026-05-02,pct wk covid lab det,2,2026-05-16,bc,quantile,0.5,1.8803
2026-05-02,pct wk covid lab det,2,2026-05-16,bc,quantile,0.75,2.8395
2026-05-02,pct wk covid lab det,2,2026-05-16,bc,quantile,0.9,3.7127
2026-05-02,pct wk covid lab det,2,2026-05-16,bc,quantile,0.975,4.6862
2026-05-02,pct wk covid lab det,3,2026-05-23,bc,quantile,0.025,0.0
2026-05-02,pct wk covid lab det,3,2026-05-23,bc,quantile,0.1,0.0
2026-05-02,pct wk covid lab det,3,2026-05-23,bc,quantile,0.25,0.5695
2026-05-02,pct wk covid lab det,3,2026-05-23,bc,quantile,0.5,1.8827
2026-05-02,pct wk covid lab det,3,2026-05-23,bc,quantile,0.75,3.196
2026-05-02,pct wk covid lab det,3,2026-05-23,bc,quantile,0.9,4.3916
2026-05-02,pct wk covid lab det,3,2026-05-23,bc,quantile,0.975,5.7245
2026-05-02,pct wk covid lab det,-1,2026-04-25,ca,quantile,0.025,1.652
2026-05-02,pct wk covid lab det,-1,2026-04-25,ca,quantile,0.1,1.686
2026-05-02,pct wk covid lab det,-1,2026-04-25,ca,quantile,0.25,1.7165
2026-05-02,pct wk covid lab det,-1,2026-04-25,ca,quantile,0.5,1.75
2026-05-02,pct wk covid lab det,-1,2026-04-25,ca,quantile,0.75,1.7835
2026-05-02,pct wk covid lab det,-1,2026-04-25,ca,quantile,0.9,1.814
2026-05-02,pct wk covid lab det,-1,2026-04-25,ca,quantile,0.975,1.848
2026-05-02,pct wk covid lab det,0,2026-05-02,ca,quantile,0.025,0.8299
2026-05-02,pct wk covid lab det,0,2026-05-02,ca,quantile,0.1,1.0992
2026-05-02,pct wk covid lab det,0,2026-05-02,ca,quantile,0.25,1.3408
2026-05-02,pct wk covid lab det,0,2026-05-02,ca,quantile,0.5,1.6061
2026-05-02,pct wk covid lab det,0,2026-05-02,ca,quantile,0.75,1.8714
2026-05-02,pct wk covid lab det,0,2026-05-02,ca,quantile,0.9,2.113
2026-05-02,pct wk covid lab det,0,2026-05-02,ca,quantile,0.975,2.3823
2026-05-02,pct wk covid lab det,1,2026-05-09,ca,quantile,0.025,0.3475
2026-05-02,pct wk covid lab det,1,2026-05-09,ca,quantile,0.1,0.7771
2026-05-02,pct wk covid lab det,1,2026-05-09,ca,quantile,0.25,1.1625
2026-05-02,pct wk covid lab det,1,2026-05-09,ca,quantile,0.5,1.5858
2026-05-02,pct wk covid lab det,1,2026-05-09,ca,quantile,0.75,2.0091
2026-05-02,pct wk covid lab det,1,2026-05-09,ca,quantile,0.9,2.3945
2026-05-02,pct wk covid lab det,1,2026-05-09,ca,quantile,0.975,2.8242
2026-05-02,pct wk covid lab det,2,2026-05-16,ca,quantile,0.025,0.0
2026-05-02,pct wk covid lab det,2,2026-05-16,ca,quantile,0.1,0.3649
2026-05-02,pct wk covid lab det,2,2026-05-16,ca,quantile,0.25,0.9446
2026-05-02,pct wk covid lab det,2,2026-05-16,ca,quantile,0.5,1.5814
2026-05-02,pct wk covid lab det,2,2026-05-16,ca,quantile,0.75,2.2181
2026-05-02,pct wk covid lab det,2,2026-05-16,ca,quantile,0.9,2.7979
2026-05-02,pct wk covid lab det,2,2026-05-16,ca,quantile,0.975,3.4441
2026-05-02,pct wk covid lab det,3,2026-05-23,ca,quantile,0.025,0.0
2026-05-02,pct wk covid lab det,3,2026-05-23,ca,quantile,0.1,0.0
2026-05-02,pct wk covid lab det,3,2026-05-23,ca,quantile,0.25,0.7136
2026-05-02,pct wk covid lab det,3,2026-05-23,ca,quantile,0.5,1.5844
2026-05-02,pct wk covid lab det,3,2026-05-23,ca,quantile,0.75,2.4551
2026-05-02,pct wk covid lab det,3,2026-05-23,ca,quantile,0.9,3.2479
2026-05-02,pct wk covid lab det,3,2026-05-23,ca,quantile,0.975,4.1316
2026-05-02,pct wk covid lab det,-1,2026-04-25,mb,quantile,0.025,1.082
2026-05-02,pct wk covid lab det,-1,2026-04-25,mb,quantile,0.1,1.116
2026-05-02,pct wk covid lab det,-1,2026-04-25,mb,quantile,0.25,1.1465
2026-05-02,pct wk covid lab det,-1,2026-04-25,mb,quantile,0.5,1.18
2026-05-02,pct wk covid lab det,-1,2026-04-25,mb,quantile,0.75,1.2135
2026-05-02,pct wk covid lab det,-1,2026-04-25,mb,quantile,0.9,1.244
2026-05-02,pct wk covid lab det,-1,2026-04-25,mb,quantile,0.975,1.278
2026-05-02,pct wk covid lab det,0,2026-05-02,mb,quantile,0.025,0.3528
2026-05-02,pct wk covid lab det,0,2026-05-02,mb,quantile,0.1,0.6221
2026-05-02,pct wk covid lab det,0,2026-05-02,mb,quantile,0.25,0.8637
2026-05-02,pct wk covid lab det,0,2026-05-02,mb,quantile,0.5,1.129
2026-05-02,pct wk covid lab det,0,2026-05-02,mb,quantile,0.75,1.3943
2026-05-02,pct wk covid lab det,0,2026-05-02,mb,quantile,0.9,1.6359
2026-05-02,pct wk covid lab det,0,2026-05-02,mb,quantile,0.975,1.9051
2026-05-02,pct wk covid lab det,1,2026-05-09,mb,quantile,0.025,0.0
2026-05-02,pct wk covid lab det,1,2026-05-09,mb,quantile,0.1,0.2896
2026-05-02,pct wk covid lab det,1,2026-05-09,mb,quantile,0.25,0.675
2026-05-02,pct wk covid lab det,1,2026-05-09,mb,quantile,0.5,1.0983
